"CUST_ID","BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","TENURE","Card_use_type","Months_used_for_Purchase","Monthly_Avg_Purchase","Months_used_for_cash_adv","Monthly_Avg_Cash_Adv_Amt","N.o_of_purchase_trans","N.o_of_cash_adv_trans","Limit_Usage","Payment_Ratio","kmeans_model.cluster"
"C10026",169.781679,1,399.6,0,399.6,0,1,0,1,0,0,12,3000,215.306142,163.005536,0,12,"Installment",12,33.3,0,0,33,0,0.056593893,1.32085171634907,"3"
"C10027",1615.96724,1,102,102,0,244.840485,0.166667,0.166667,0,0.25,5,2,1700,890.178845,971.183209,0,12,"One-Off",2,51,3,81.613495,51,49,0.950568964705882,0.916592087621235,"2"
"C10028",125.694817,1,233.28,0,233.28,0,1,0,1,0,0,12,1000,207.773715,164.748819,0,12,"Installment",12,19.44,0,0,19,0,0.125694817,1.2611545033291,"3"
"C10030",22.06349,1,100,0,100,0,0.416667,0,0.416667,0,0,5,6900,160.767773,159.684442,0,12,"Installment",5,20,0,0,20,0,0.00319760724637681,1.00678419880128,"3"
"C10032",1162.273324,1,1347.71,400,947.71,175.815755,1,0.083333,1,0.166667,2,45,6000,645.998299,256.848991,0,12,"All Three",12,112.309166666667,2,87.9078775,30,88,0.193712220666667,2.51508988407901,"3"
"C10034",125.660453,1,636.79,636.79,0,0,0.916667,0.916667,0,0,0,11,1200,423.449696,191.123257215899,0.3,12,"One-Off",11,57.89,0,0,58,0,0.104717044166667,2.2155843415836,"3"
"C10036",1656.350781,1,0,0,0,99.264367,0,0,0,0.083333,1,0,1800,351.500199,634.569311,0,12,"Cash Advance",0,0,1,99.264367,0,99,0.920194878333333,0.553919316466913,"2"
"C10038",4047.480828,1,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000,1617.894416,1541.141605,0,12,"All Three",9,264.505555555556,4,424.41522525,58,243,0.8094961656,1.04980256892098,"2"
"C10041",663.44781,0.727273,0,0,0,3133.063934,0,0,0,0.25,3,0,1800,3067.05783,283.333445,0.166667,12,"Cash Advance",0,0,3,1044.35464466667,0,1044,0.368582116666667,10.8249057219489,"2"
"C10043",784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000,1262.309666,363.142736,0.111111,12,"All Three",7,218.084285714286,3,729.473202333333,57,199,0.261629920666667,3.47607026345696,"2"
"C10044",4104.710798,1,203.82,203.82,0,0,0.083333,0.083333,0,0,0,1,4500,868.275275,1801.264841,0,12,"One-Off",1,203.82,0,0,204,0,0.912157955111111,0.482036430865971,"2"
"C10045",1360.742377,1,0,0,0,1481.587093,0,0,0,0.083333,1,0,1500,378.294227,321.354137,0,12,"Cash Advance",0,0,1,1481.587093,0,1482,0.907161584666667,1.17718797875628,"2"
"C10047",2242.311686,1,437,97,340,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400,0,1341.62372023752,0,12,"All Three",4,109.25,2,92.324346,87,92,0.934296535833333,0,"2"
"C10048",474.447149,0.5,109.74,0,109.74,1013.659552,0.375,0,0.25,0.125,1,3,1700,176.013005,147.199792,0,8,"Installment",3,36.58,1,1013.659552,37,1014,0.279086558235294,1.19574221273356,"1"
"C10049",3910.111237,1,0,0,0,1980.873201,0,0,0,0.5,7,0,4200,0,1265.79609639192,0,12,"Cash Advance",0,0,6,330.1455335,0,283,0.930978865952381,0,"2"
"C10050",229.867179,1,2390.6,1402.93,987.67,0,1,0.666667,1,0,0,87,3300,2543.953559,175.657825,0.916667,12,"Both Purchases",12,199.216666666667,0,0,27,0,0.0696567209090909,14.4824379955746,"3"
"C10051",863.809833,1,507.5,507.5,0,695.097159,0.166667,0.166667,0,0.083333,2,3,4000,587.866451,286.448719,0.083333,12,"One-Off",2,253.75,1,695.097159,169,348,0.21595245825,2.05225721746027,"2"
"C10053",1078.888565,1,3107.85,2221.74,886.11,0,0.666667,0.583333,0.5,0,0,18,2500,1399.82834,1322.446601,0,12,"Both Purchases",8,388.48125,0,0,173,0,0.431555426,1.05851407455052,"3"
"C10054",1565.681099,1,0,0,0,321.359135,0,0,0,0.25,3,0,3500,691.825279,581.481917,0,12,"Cash Advance",0,0,3,107.119711666667,0,107,0.447337456857143,1.18976232755317,"2"
"C10055",464.674156,0.888889,1979.22,1979.22,0,1981.265503,0.666667,0.666667,0,0.111111,1,11,3000,3110.052742,132.446091,0.2,9,"One-Off",6,329.87,1,1981.265503,180,1981,0.154891385333333,23.4816499189848,"3"
"C10056",6.660517,0.636364,310,0,310,0,0.666667,0,0.666667,0,0,8,1000,417.016763,111.276217943066,0,12,"Installment",8,38.75,0,0,39,0,0.006660517,3.7475821043214,"1"
"C10057",1311.995984,1,1283.9,1283.9,0,0,0.25,0.25,0,0,0,6,6000,0,446.343490684676,0,12,"One-Off",3,427.966666666667,0,0,214,0,0.218665997333333,0,"3"
"C10058",3625.218146,1,313.27,313.27,0,668.468743,0.25,0.25,0,0.416667,5,4,4000,0,1615.43112896941,0,12,"One-Off",3,104.423333333333,5,133.6937486,78,134,0.9063045365,0,"2"
"C10060",3971.138765,1,0,0,0,224.575517,0,0,0,0.181818,3,0,4000,764.938728,1600.212243,0,11,"Cash Advance",0,0,2,112.2877585,0,75,0.99278469125,0.478023294313716,"2"
"C10062",1879.114033,0.727273,113,113,0,0,0.166667,0.166667,0,0,0,2,6500,3509.686561,548.105836,0,12,"One-Off",2,56.5,0,0,56,0,0.289094466615385,6.40330084170095,"2"
"C10063",1555.793701,1,66.2,66.2,0,0,0.083333,0.083333,0,0,0,1,1600,338.083661,837.215674,0,12,"One-Off",1,66.2,0,0,66,0,0.972371063125,0.403819077328932,"2"
"C10065",7.152356,0.090909,840,840,0,0,0.083333,0.083333,0,0,0,1,1600,0,69.9252793040719,0,12,"One-Off",1,840,0,0,840,0,0.0044702225,0,"1"
"C10067",1923.886805,1,1887.64,0,1887.64,1605.949371,1,0,1,0.083333,4,61,1850,3688.045998,3266.996777,0.083333,12,"Installment",12,157.303333333333,1,1605.949371,31,401,1.03993881351351,1.12887959485122,"2"
"C10068",1758.059987,1,412.33,325.21,87.12,0,0.583333,0.333333,0.166667,0,0,11,1800,777.451648,897.905444,0,12,"Both Purchases",7,58.9042857142857,0,0,37,0,0.976699992777778,0.865850244249104,"2"
"C10069",809.847455,0.875,0,0,0,908.423608,0,0,0,0.125,1,0,1500,146.074769,179.412493,0,8,"Cash Advance",0,0,1,908.423608,0,908,0.539898303333333,0.814183931996307,"2"
"C10070",1576.305029,1,0,0,0,382.908547,0,0,0,0.416667,6,0,2500,540.022225,352.883804,0,12,"Cash Advance",0,0,5,76.5817094,0,64,0.6305220116,1.5303117311669,"2"
"C10072",1699.435486,1,1363.69,1363.69,0,0,0.333333,0.333333,0,0,0,4,1700,1623.816348,923.505868,0,12,"One-Off",4,340.9225,0,0,341,0,0.999667932941177,1.75831730394592,"2"
"C10075",656.01301,1,0,0,0,1474.349901,0,0,0,0.125,3,0,7000,910.457985,140.983193,0.25,8,"Cash Advance",0,0,1,1474.349901,0,491,0.0937161442857143,6.45791860452472,"2"
"C10077",1808.972419,1,713.9,503.08,210.82,0,0.5,0.1,0.4,0,0,8,2250,889.017418,622.757696,0,10,"Both Purchases",5,142.78,0,0,89,0,0.803987741777778,1.42754946861387,"2"
"C10078",532.334517,0.909091,791.94,516.64,275.3,0,0.272727,0.090909,0.181818,0,0,7,6000,1305.177304,175.510344,0,11,"Both Purchases",3,263.98,0,0,113,0,0.0887224195,7.4364694083216,"3"
"C10081",578.809679,1,320,0,320,0,0.75,0,0.666667,0,0,8,1500,1438.910569,190.186542,0,12,"Installment",9,35.5555555555556,0,0,40,0,0.385873119333333,7.5657854329146,"3"
"C10082",1205.716678,1,0,0,0,38.325801,0,0,0,0.083333,1,0,1200,29.278671,8242.687678,0,12,"Cash Advance",0,0,1,38.325801,0,38,1.00476389833333,0.00355207817447041,"2"
"C10084",17.357563,0.909091,244.85,40.21,204.64,0,0.666667,0.166667,0.583333,0,0,13,5000,357.802082,121.523416,0.181818,12,"Both Purchases",8,30.60625,0,0,19,0,0.0034715126,2.94430566369201,"3"
"C10085",81.584711,0.272727,0,0,0,2985.300006,0,0,0,0.166667,5,0,9500,116.569033,164.692136,0,12,"Cash Advance",0,0,2,1492.650003,0,597,0.00858786431578947,0.707799630457158,"1"
"C10087",42.46443,0.545455,396,0,396,0,0.5,0,0.416667,0,0,12,1200,725.606194,140.809454,1,12,"Installment",6,66,0,0,33,0,0.035387025,5.15310707759722,"1"
"C10093",4037.305658,1,45,45,0,104.238064,0.083333,0.083333,0,0.083333,1,1,4500,1073.844885,968.941265,0,12,"One-Off",1,45,1,104.238064,45,104,0.897179035111111,1.10826623221584,"2"
"C10096",1977.00709,1,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000,3056.424974,910.707525,0.090909,11,"All Three",10,103.204,6,722.6532045,61,206,0.4942517725,3.35609939535747,"2"
"C10097",1321.47608,1,45.65,45.65,0,495.657934,0.083333,0.083333,0,0.083333,1,1,1800,440.840439,312.560636,0,12,"One-Off",1,45.65,1,495.657934,46,496,0.734153377777778,1.41041573450087,"2"
"C10098",1307.717841,1,405.6,405.6,0,0,0.166667,0.166667,0,0,0,2,2400,0,1954.71420742141,0,12,"One-Off",2,202.8,0,0,203,0,0.54488243375,0,"2"
"C10099",2329.485768,1,213.34,213.34,0,0,0.25,0.25,0,0,0,3,2400,0,666.508990310513,0,12,"One-Off",3,71.1133333333333,0,0,71,0,0.97061907,0,"2"
"C10100",1139.782882,1,0,0,0,120.612912,0,0,0,0.083333,1,0,1200,151.823651,2906.110765,0,12,"Cash Advance",0,0,1,120.612912,0,121,0.949819068333333,0.0522428989385062,"2"
"C10101",1619.955708,1,739.44,739.44,0,0,0.666667,0.666667,0,0,0,11,6000,417.128532,389.138517,0,12,"One-Off",8,92.43,0,0,67,0,0.269992618,1.0719281535423,"3"
"C10102",3505.671311,1,0,0,0,1713.984305,0,0,0,0.5,6,0,4000,0,1043.28465435143,0,12,"Cash Advance",0,0,6,285.664050833333,0,286,0.87641782775,0,"2"
"C10103",4.708041,0.363636,79,0,79,0,0.25,0,0.166667,0,0,3,7000,217.820198,121.781205,1,12,"Installment",3,26.3333333333333,0,0,26,0,0.000672577285714286,1.78861917157085,"1"
"C10104",0,0,0,0,0,89.849004,0,0,0,0.142857,1,0,3000,138.021428,112.830312271662,0,7,"Cash Advance",0,0,1,89.849004,0,90,0,1.22326549684348,"1"
"C10105",4.875885,0.666667,20,20,0,0,0.111111,0.111111,0,0,0,1,1500,26.487919,60.913577,0,9,"One-Off",1,20,0,0,20,0,0.00325059,0.434844254836652,"1"
"C10106",23.394411,0.272727,1346.28,0,1346.28,0,1,0,1,0,0,12,2000,712.149153,54.79166,0,12,"Installment",12,112.19,0,0,112,0,0.0116972055,12.9974005715468,"1"
"C10108",0.62424,0.090909,389.96,0,389.96,0,1,0,1,0,0,31,4500,0,33.1717563137523,0,12,"Installment",12,32.4966666666667,0,0,13,0,0.00013872,0,"1"
"C10109",862.07238,1,0,0,0,920.309805,0,0,0,0.083333,1,0,4000,2236.890255,214.828158,0.083333,12,"Cash Advance",0,0,1,920.309805,0,920,0.215518095,10.4124630394122,"2"
"C10110",2441.542991,1,808,808,0,959.857263,0.25,0.25,0,0.333333,6,4,4000,532.741699,1026.976,0,12,"One-Off",3,269.333333333333,4,239.96431575,202,160,0.61038574775,0.518747954187829,"2"
"C10111",408.656365,1,941.64,0,941.64,0,1,0,1,0,0,12,2500,1097.78942,176.610605,0.083333,12,"Installment",12,78.47,0,0,78,0,0.163462546,6.21587486210129,"3"
"C10113",1246.624558,1,423.7,177.64,246.06,412.399058,0.666667,0.166667,0.5,0.083333,2,10,2000,577.050373,498.365419,0,12,"All Three",8,52.9625,1,412.399058,42,206,0.623312279,1.15788606311787,"2"
"C10115",156.216753,0.818182,1354.86,585.63,769.23,0,0.916667,0.333333,0.833333,0,0,34,5500,858.976682,108.319927,0,12,"Both Purchases",11,123.169090909091,0,0,40,0,0.028403046,7.92999686936643,"3"
"C10116",3393.351236,1,0,0,0,1008.348672,0,0,0,0.083333,2,0,4200,0,2891.34976576684,0,12,"Cash Advance",0,0,1,1008.348672,0,504,0.807940770476191,0,"2"
"C10119",175.341651,0.818182,1508.9,1252.36,256.54,0,0.666667,0.416667,0.333333,0,0,14,5000,1884.227778,136.639824,1,12,"Both Purchases",8,188.6125,0,0,108,0,0.0350683302,13.7897409616101,"3"
"C10120",680.195157,1,1045.57,667.95,377.62,0,1,0.583333,1,0,0,25,3000,552.432305,207.720441,0,12,"Both Purchases",12,87.1308333333333,0,0,42,0,0.226731719,2.65949899942683,"3"
"C10121",223.763616,0.636364,2309.78,0,2309.78,0,0.583333,0,0.5,0,0,12,6500,1206.81188,99.372848,0.333333,12,"Installment",7,329.968571428571,0,0,192,0,0.0344251716923077,12.1442819068645,"3"
"C10122",1785.626943,1,0,0,0,576.206382,0,0,0,0.25,10,0,1800,687.691735,2439.136113,0,12,"Cash Advance",0,0,3,192.068794,0,58,0.992014968333333,0.281940696681407,"2"
"C10123",54.933231,0.272727,495,0,495,0,0.166667,0,0.166667,0,0,2,7000,1969.845566,147.049952,1,12,"Installment",2,247.5,0,0,248,0,0.00784760442857143,13.3957579666534,"1"
"C10124",2662.629852,1,0,0,0,509.023801,0,0,0,0.333333,4,0,3000,932.418855,709.207016,0,12,"Cash Advance",0,0,4,127.25595025,0,127,0.887543284,1.31473439202412,"2"
"C10126",1464.324632,1,1174.39,1174.39,0,0,0.25,0.25,0,0,0,8,9000,0,486.983035263677,0,12,"One-Off",3,391.463333333333,0,0,147,0,0.162702736888889,0,"3"
"C10127",2114.158683,1,5580.85,0,5580.85,0,1,0,1,0,0,75,8500,3564.977774,630.00413,0,12,"Installment",12,465.070833333333,0,0,74,0,0.248724550941176,5.65865778371961,"3"
"C10128",2876.396444,1,0,0,0,998.84867,0,0,0,0.166667,2,0,3200,1065.426905,1412.648089,0,12,"Cash Advance",0,0,2,499.424335,0,499,0.89887388875,0.754205462277732,"2"
"C10132",57.453201,0.75,0,0,0,272.713302,0,0,0,0.125,1,0,1200,385.853874,84.697292,0.166667,8,"Cash Advance",0,0,1,272.713302,0,273,0.0478776675,4.5556813551961,"1"
"C10133",4245.855092,1,1957.3,1077.3,880,0,0.833333,0.166667,0.583333,0,0,19,5000,1004.35474,1086.428906,0,12,"Both Purchases",10,195.73,0,0,103,0,0.8491710184,0.924455097294696,"2"
"C10136",116.654149,0.272727,907,907,0,273.558033,0.25,0.25,0,0.083333,1,8,5000,0,54.2056517414015,0,12,"One-Off",3,302.333333333333,1,273.558033,113,274,0.0233308298,0,"1"
"C10137",4637.848144,1,1271.12,351.54,919.58,0,0.833333,0.25,0.833333,0,0,33,5000,1906.032044,3572.279251,0,12,"Both Purchases",10,127.112,0,0,39,0,0.9275696288,0.533561883065675,"2"
"C10138",24.28497,0.636364,250.6,0,250.6,0,0.583333,0,0.5,0,0,7,3000,319.762903,173.632006,0,12,"Installment",7,35.8,0,0,36,0,0.00809499,1.84161267479683,"1"
"C10140",231.108995,1,440,0,440,0,0.916667,0,0.916667,0,0,22,4000,554.116542,185.091037,0,12,"Installment",11,40,0,0,20,0,0.05777724875,2.99375135058539,"3"
"C10141",1562.633343,1,1330.62,1169.63,160.99,0,0.5,0.166667,0.25,0,0,8,2000,1020.783647,709.610053,0,12,"Both Purchases",6,221.77,0,0,166,0,0.7813166715,1.43851350848887,"2"
"C10143",706.132889,1,897.86,714.52,183.34,586.268966,0.916667,0.333333,0.916667,0.25,3,18,1200,972.358048,184.524376,0,12,"All Three",11,81.6236363636364,3,195.422988666667,50,195,0.588444074166667,5.26953711524812,"2"
"C10145",2235.103331,1,720.6,720.6,0,723.308724,1,1,0,0.083333,1,12,2500,1061.292471,689.118919,0,12,"One-Off",12,60.05,1,723.308724,60,723,0.8940413324,1.54007159249099,"2"
"C10146",947.13081,1,197.06,148.66,48.4,0,0.333333,0.25,0.166667,0,0,5,1000,492.200419,509.384182,0,12,"Both Purchases",4,49.265,0,0,39,0,0.94713081,0.966265613249844,"2"
"C10147",764.042156,0.818182,0,0,0,1307.102516,0,0,0,0.166667,3,0,7500,1566.806897,172.959728,0,12,"Cash Advance",0,0,2,653.551258,0,436,0.101872287466667,9.0587960279401,"2"
"C10151",3057.400553,1,1025,1025,0,0,0.083333,0.083333,0,0,0,2,7500,698.854095,819.682666,0,12,"One-Off",1,1025,0,0,512,0,0.407653407066667,0.852591037956633,"2"
"C10152",19.354559,0.909091,689.7,0,689.7,0,0.833333,0,0.833333,0,0,10,10000,746.691026,194.183923779209,0,12,"Installment",10,68.97,0,0,69,0,0.0019354559,3.84527725811639,"3"
"C10153",264.811595,1,28.65,28.65,0,384.26178,0.083333,0.083333,0,0.083333,1,1,9000,1235.630069,194.324456,0.083333,12,"One-Off",1,28.65,1,384.26178,29,384,0.0294235105555556,6.35859270847515,"3"
"C10154",1108.22253,0.909091,944.96,164.96,780,0,0.5,0.25,0.416667,0,0,9,1500,1955.198953,992.652486,0,12,"Both Purchases",6,157.493333333333,0,0,105,0,0.73881502,1.96967113927119,"2"
"C10157",1523.911458,1,4075.37,3322.28,753.09,0,1,1,1,0,0,31,6500,2254.26002,329.29648,0,12,"Both Purchases",12,339.614166666667,0,0,131,0,0.234447916615385,6.84568514063679,"3"
"C10158",49.206256,1,870.24,0,870.24,0,1,0,1,0,0,24,8000,835.839952,193.011166,1,12,"Installment",12,72.52,0,0,36,0,0.006150782,4.33052641109893,"3"
"C10160",106.455975,0.636364,2463.12,789.53,1673.59,0,1,0.5,1,0,0,46,4000,2573.722764,95.342224,0.636364,12,"Both Purchases",12,205.26,0,0,54,0,0.02661399375,26.9945744500359,"3"
"C10163",1734.510004,1,0,0,0,66.275851,0,0,0,0.166667,2,0,1800,363.474455,2827.997525,0,12,"Cash Advance",0,0,2,33.1379255,0,33,0.963616668888889,0.12852714749105,"2"
"C10165",1046.37041,1,295,295,0,93.579809,0.083333,0.083333,0,0.083333,1,2,1200,439.407082,362.838185,0,12,"One-Off",1,295,1,93.579809,148,94,0.871975341666667,1.21102767064056,"2"
"C10166",2737.367678,1,0,0,0,429.691164,0,0,0,0.416667,5,0,3000,778.827993,721.798576,0,12,"Cash Advance",0,0,5,85.9382328,0,86,0.912455892666667,1.07901015448942,"2"
"C10167",4014.818167,1,0,0,0,988.356213,0,0,0,0.083333,1,0,8500,1009.185035,1177.149934,0,12,"Cash Advance",0,0,1,988.356213,0,988,0.472331549058824,0.857312230032372,"2"
"C10168",871.568977,1,648.22,115,533.22,0,1,0.083333,1,0,0,27,1200,1110.886425,208.298424,0,12,"Both Purchases",12,54.0183333333333,0,0,24,0,0.726307480833333,5.33314848795975,"3"
"C10169",1610.040203,1,557.19,525.64,31.55,0,0.25,0.083333,0.166667,0,0,5,4000,422.711848,616.005839,0,12,"Both Purchases",3,185.73,0,0,111,0,0.40251005075,0.686214027916057,"2"
"C10170",114.593817,1,469.98,0,469.98,0,1,0,0.833333,0,0,6,1000,367.109312,86.102479,0.5,6,"Installment",6,78.33,0,0,78,0,0.114593817,4.26363231655618,"3"
"C10172",823.103926,0.363636,131.64,0,131.64,0,1,0,1,0,0,12,8000,2916.071564,243.199498,0,12,"Installment",12,10.97,0,0,11,0,0.10288799075,11.9904505888413,"1"
"C10174",1128.124563,1,924.6,0,924.6,0,1,0,1,0,0,12,1000,1202.711782,1747.037345,0,12,"Installment",12,77.05,0,0,77,0,1.128124563,0.688429348944456,"2"
"C10175",349.441102,1,1975.4,1393.5,581.9,0,0.666667,0.416667,0.333333,0,0,17,4000,1795.012223,167.219681,0,12,"Both Purchases",8,246.925,0,0,116,0,0.0873602755,10.734455491516,"3"
"C10176",840.804076,0.666667,0,0,0,3671.777443,0,0,0,0.222222,5,0,4000,3621.266477,193.171404,0,9,"Cash Advance",0,0,2,1835.8887215,0,734,0.210201019,18.746390003978,"2"
"C10179",2187.732265,0.857143,0,0,0,3905.326256,0,0,0,0.285714,9,0,3000,1423.788603,461.365626,0.2,7,"Cash Advance",0,0,2,1952.663128,0,434,0.729244088333333,3.0860309541136,"2"
"C10181",1608.451822,1,0,0,0,205.737165,0,0,0,0.166667,2,0,1800,470.565984,408.799147,0,12,"Cash Advance",0,0,2,102.8685825,0,103,0.893584345555556,1.15109336076966,"2"
"C10182",1872.926275,1,766.61,766.61,0,1017.120578,0.833333,0.833333,0,0.25,5,12,2300,0,1130.5591028739,0,12,"One-Off",10,76.661,3,339.040192666667,64,203,0.814315771739131,0,"2"
"C10183",2933.240476,1,0,0,0,2040.433925,0,0,0,0.583333,13,0,3000,2431.578544,1739.74883,0,12,"Cash Advance",0,0,7,291.490560714286,0,157,0.977746825333333,1.39766068645668,"2"
"C10185",36.236312,0.454545,256.11,0,256.11,0,0.416667,0,0.416667,0,0,5,5300,831.375322,189.036967,0.166667,12,"Installment",5,51.222,0,0,51,0,0.00683704,4.39795102087096,"1"
"C10186",903.29781,1,2697.48,150.5,2546.98,0,1,0.333333,1,0,0,39,2500,1686.196344,303.361632,0,12,"Both Purchases",12,224.79,0,0,69,0,0.361319124,5.55837049294355,"3"
"C10187",0,0,23,0,23,0,0.083333,0,0.083333,0,0,1,5000,0,58.2565816967735,0,12,"Installment",1,23,0,0,23,0,0,0,"1"
"C10190",117.442684,1,653.73,493,160.73,0,0.666667,0.416667,0.416667,0,0,15,10000,441.588141,136.827952,0,12,"Both Purchases",8,81.71625,0,0,44,0,0.0117442684,3.22732405583327,"3"
"C10191",168.522709,0.818182,2009.05,0,2009.05,0,0.833333,0,0.75,0,0,22,1200,2612.760497,197.638558,0.142857,12,"Installment",10,200.905,0,0,91,0,0.140435590833333,13.2198925323064,"3"
"C10192",1706.014379,1,147.78,0,147.78,1657.090283,0.166667,0,0.166667,0.25,4,2,6000,1186.062765,374.595505,0,12,"Installment",2,73.89,3,552.363427666667,74,414,0.284335729833333,3.16624932538899,"2"
"C10193",874.583247,1,516.54,159.07,357.47,0,1,0.333333,0.916667,0,0,30,900,579.749308,693.894717,0,12,"Both Purchases",12,43.045,0,0,17,0,0.971759163333333,0.835500391913201,"2"
"C10194",861.001207,1,969.56,969.56,0,446.233197,0.416667,0.416667,0,0.083333,1,6,2400,0,288.205775056324,0,12,"One-Off",5,193.912,1,446.233197,162,446,0.358750502916667,0,"2"
"C10196",966.251742,1,311.45,311.45,0,955.959749,0.333333,0.333333,0,0.083333,1,15,1500,277.522439,286.299328,0,12,"One-Off",4,77.8625,1,955.959749,21,956,0.644167828,0.96934366188942,"2"
"C10197",38.615644,0.727273,280.4,280.4,0,0,0.25,0.25,0,0,0,3,6150,254.392984,55.79974,0.090909,12,"One-Off",3,93.4666666666667,0,0,93,0,0.00627896650406504,4.55903529299599,"1"
"C10198",189.687964,1,66.14,66.14,0,0,0.083333,0.083333,0,0,0,2,6000,0,164.268546930824,0,12,"One-Off",1,66.14,0,0,33,0,0.0316146606666667,0,"3"
"C10199",40.417255,0.363636,79.2,79.2,0,1631.576375,0.083333,0.083333,0,0.083333,1,1,4000,1647.880773,24.815878,0.083333,12,"One-Off",1,79.2,1,1631.576375,79,1632,0.01010431375,66.4042905513962,"1"
